	SampleID	Day_cat	Animal	Day	type	BC	UN	WU
11	C_d1_C1	d1	C1	1	calf	-0.200713803	0.148749857	-0.118052
12	C_d1_C10	d1	C10	1	calf	-0.257416384	0.108024254	-0.028159829
13	C_d1_C2	d1	C2	1	calf	-0.252176014	0.128072875	-0.028370192
14	C_d1_C3	d1	C3	1	calf	-0.259623531	0.038797835	-0.05719631
15	C_d1_C4	d1	C4	1	calf	-0.32958545	0.004486635	-0.174075109
16	C_d1_C5	d1	C5	1	calf	-0.342346025	-0.214275707	-0.256840485
17	C_d1_C6	d1	C6	1	calf	-0.087782388	-0.177155679	-0.120895463
18	C_d1_C7	d1	C7	1	calf	-0.165714084	-0.188631832	-0.131051271
19	C_d1_C8	d1	C8	1	calf	-0.19147595	-0.162831366	-0.190158045
20	C_d1_C9	d1	C9	1	calf	-0.157330231	-0.182545849	-0.07698566
21	C_d14_C1	d14	C1	14	calf	0.421267742	0.247765399	0.244792086
22	C_d14_C10	d14	C10	14	calf	0.249967593	-0.027322629	-0.028789662
23	C_d14_C3	d14	C3	14	calf	0.421569883	0.225475456	0.211458265
24	C_d14_C4	d14	C4	14	calf	0.388246942	0.201037133	0.226294846
25	C_d14_C5	d14	C5	14	calf	0.00893556	0.082580127	0.204440295
26	C_d14_C6	d14	C6	14	calf	0.374765942	-0.079836705	0.091936402
27	C_d14_C7	d14	C7	14	calf	0.292394426	-0.057962282	0.126749769
28	C_d14_C8	d14	C8	14	calf	0.275646253	-0.039271213	-0.034404915
29	C_d14_C9	d14	C9	14	calf	0.234336617	-0.114550249	0.160063637
30	C_d2_C1	d2	C1	2	calf	0.015192361	0.172135669	0.060950566
31	C_d2_C10	d2	C10	2	calf	-0.122011008	0.143440402	0.050457794
32	C_d2_C2	d2	C2	2	calf	-0.142903939	0.072189167	0.035729984
33	C_d2_C3	d2	C3	2	calf	-0.175037702	0.056582847	-0.00374492
34	C_d2_C4	d2	C4	2	calf	-0.206098935	0.050374788	-0.099684739
35	C_d2_C5	d2	C5	2	calf	-0.402194037	-0.217933881	-0.257368201
36	C_d2_C6	d2	C6	2	calf	0.074821181	-0.198050251	-0.111500904
