	OTU ID	Day	Day_cat	Proteobacteria	Firmicutes	Actinobacteria	Bacteroidetes	Spirochaetes	type
4	C_d0_C3	0	d0	11.88479767	38.02406125	0.077469923	39.93346701	5.514035727	calf
5	C_d0_C4	0	d0	1.977761575	25.83394094	0.072912869	49.15694495	12.94203427	calf
6	C_d0_C5	0	d0	18.4651841	14.24079475	0.341779074	55.93328472	7.5419249	calf
7	C_d0_C6	0	d0	6.844695589	26.68155304	0.314436748	60.11210354	2.27852716	calf
8	C_d0_C7	0	d0	10.28982865	18.54265403	0.036456435	64.26813708	6.115566898	calf
9	C_d0_C8	0	d0	8.389537003	35.55413781	0.341779074	49.77670434	2.087130879	calf
10	C_d0_C9	0	d0	10.85490339	17.94567991	0.255195042	63.74863288	0.947867299	calf
11	C_d1_C1	1	d1	4.365658039	26.47192855	0.036456435	55.7965731	5.185927816	calf
12	C_d1_C10	1	d1	17.41250456	21.27688662	0.022785272	46.4682829	10.40375501	calf
13	C_d1_C2	1	d1	15.43474298	25.08202698	0.077469923	44.40849435	10.6042654	calf
14	C_d1_C3	1	d1	15.58968283	31.99052133	0.173168064	45.12395188	4.238060518	calf
15	C_d1_C4	1	d1	4.269959898	25.30987969	1.134706526	59.26449143	5.732774335	calf
16	C_d1_C5	1	d1	9.711082756	12.01695224	0.428363106	75.27798031	1.854721108	calf
17	C_d1_C6	1	d1	4.42034269	37.32227488	2.469923441	52.264856	0.956981407	calf
18	C_d1_C7	1	d1	3.458804229	40.84032082	3.472475392	50.12304047	0.341779074	calf
19	C_d1_C8	1	d1	4.730222384	34.63816989	0.583302953	57.55103901	0.915967918	calf
20	C_d1_C9	1	d1	13.4478673	36.88024061	0.720014583	45.59332847	0.806598615	calf
21	C_d14_C1	14	d14	43.87076194	11.63415968	2.64764856	38.67572001	0.524061247	calf
22	C_d14_C10	14	d14	9.323733139	27.38789646	0.077469923	60.19868757	1.394458622	calf
23	C_d14_C3	14	d14	32.67407948	13.78508932	1.667881881	42.39883339	0.13671163	calf
24	C_d14_C4	14	d14	46.45916879	12.82810791	0.961538462	35.7637623	2.365111192	calf
25	C_d14_C5	14	d14	100	0	0	0	0	calf
26	C_d14_C6	14	d14	32.37787094	10.66806416	0.059241706	54.65730952	0.838497995	calf
27	C_d14_C7	14	d14	29.52515494	14.62358731	1.335216916	49.6308786	2.61574918	calf
28	C_d14_C8	14	d14	6.457345972	20.82573824	0.100255195	70.54775793	0.947867299	calf
29	C_d14_C9	14	d14	22.0470288	34.59259934	0.291651476	33.18446956	0.419248997	calf
30	C_d2_C1	2	d2	20.04648195	27.21928545	0.109369304	41.19577105	3.221837404	calf
31	C_d2_C10	2	d2	28.35399198	20.39281808	0.054684652	39.99726577	8.485235144	calf
32	C_d2_C2	2	d2	25.82026978	20.889537	0.045570543	40.6124681	9.902479038	calf
33	C_d2_C3	2	d2	21.42271236	33.40320817	0.109369304	39.07674079	3.627415239	calf
34	C_d2_C4	2	d2	9.396646008	20.39737514	0.218738607	52.30586949	9.711082756	calf
35	C_d2_C5	2	d2	12.41797302	14.94258112	0.396463726	61.87568356	6.448231863	calf
36	C_d2_C6	2	d2	11.74808604	16.8200875	0.241523879	66.9795844	2.196500182	calf
37	C_d2_C7	2	d2	9.373860736	22.72602989	0.141268684	64.32737878	2.757017864	calf
38	C_d2_C8	2	d2	28.89628144	20.49307328	0.23240977	43.81152023	2.082573824	calf
39	C_d2_C9	2	d2	9.373860736	23.21363471	1.954976303	57.88370397	0.360007291	calf
40	C_d21_C1	21	d21	47.74425811	10.19413051	4.52515494	33.47612104	0.596974116	calf
41	C_d21_C2	21	d21	40.99526066	10.99161502	1.991432738	37.51367116	0.742799854	calf
42	C_d21_C3	21	d21	35.59515129	12.52278527	2.000546847	42.26212176	0.091141086	calf
43	C_d21_C4	21	d21	41.49197958	15.46208531	1.94130514	36.56580386	1.617754284	calf
44	C_d21_C5	21	d21	25.92508203	8.384979949	0.915967918	59.19613562	0.533175355	calf
45	C_d21_C6	21	d21	27.9028436	19.18519869	1.034451331	44.98724025	3.600072913	calf
46	C_d21_C7	21	d21	23.77415239	13.74863288	2.501822822	53.91450966	2.182829019	calf
47	C_d21_C8	21	d21	34.31006198	10.77743347	4.046664236	43.17353263	2.770689027	calf
48	C_d21_C9	21	d21	33.1707984	26.55395552	1.718009479	25.39646373	0.191396281	calf
49	C_d3_C1	3	d3	34.76576741	17.3487058	0.045570543	40.54866934	2.438024061	calf
50	C_d3_C10	3	d3	26.0572366	22.18374043	0.104812249	40.92234779	7.80623405	calf
51	C_d3_C2	3	d3	22.69413051	23.98377689	0.141268684	41.56944951	7.929274517	calf
52	C_d3_C3	3	d3	25.33266497	29.86693401	0.041013489	40.18866205	3.098796938	calf
53	C_d3_C4	3	d3	11.46554867	18.96190303	0.009114109	49.03390448	12.63215458	calf
54	C_d3_C5	3	d3	11.64783084	14.81042654	0.442034269	60.51312432	7.938388626	calf
55	C_d3_C6	3	d3	3.572730587	20.28800583	0.277980314	67.15730952	7.017863653	calf
56	C_d3_C7	3	d3	15.20689027	21.75993438	0.127597521	58.58549034	2.702333212	calf
57	C_d3_C8	3	d3	27.18282902	20.35636165	0.186839227	44.95534087	2.825373678	calf
58	C_d3_C9	3	d3	15.99070361	14.33649289	0.546846518	53.45880423	0.255195042	calf
59	C_d7_C1	7	d7	44.77761575	9.601713452	0.720014583	40.99526066	0.455705432	calf
60	C_d7_C10	7	d7	29.56616843	9.624498724	0.296208531	51.45825738	3.212723296	calf
61	C_d7_C2	7	d7	32.18191761	12.10353627	0.528618301	45.82118119	2.406124681	calf
62	C_d7_C3	7	d7	26.79092235	14.1359825	0.104812249	52.66131972	1.180277069	calf
63	C_d7_C4	7	d7	39.72839956	11.56580386	0.127597521	38.77597521	6.20215093	calf
64	C_d7_C5	7	d7	11.09187022	18.77050674	0.218738607	53.81425447	8.471563981	calf
65	C_d7_C6	7	d7	28.07601167	11.18756836	0.050127598	55.47302224	3.841596792	calf
66	C_d7_C7	7	d7	27.57473569	19.64546117	0.423806052	47.2065257	2.037003281	calf
67	C_d7_C8	7	d7	30.79201604	17.33047758	0.23240977	44.95078381	2.128144367	calf
68	C_d7_C9	7	d7	24.57619395	11.6523879	0.277980314	47.81261393	0.455705432	calf
1	P_d0_P1	0	d0	0.041536864	70.9761163	2.232606438	24.59501558	0.368639668	piglet
2	P_d0_P10	0	d0	1.168224299	43.99792316	5.851505711	44.06542056	4.003115265	piglet
3	P_d0_P2	0	d0	0.098650052	55.5192108	2.767393562	40.04672897	0.057113188	piglet
4	P_d0_P3	0	d0	0.010384216	53.06853583	2.004153686	41.73416407	0	piglet
5	P_d0_P4	0	d0	0.010384216	58.93042575	4.013499481	35.63343718	0.010384216	piglet
6	P_d0_P5	0	d0	0.10384216	61.03322949	1.921079958	35.72170301	0	piglet
7	P_d0_P6	0	d0	0.015576324	53.38006231	0.160955348	46.13707165	0	piglet
8	P_d0_P7	0	d0	0.02596054	50.7113188	2.14953271	45.62824507	0.020768432	piglet
9	P_d0_P8	0	d0	0.752855659	50.74247144	3.800623053	38.06853583	3.322949117	piglet
10	P_d0_P9	0	d0	0	45.75285566	8.878504673	44.5482866	0.031152648	piglet
11	P_d1_P1	1	d1	0.093457944	66.3655244	2.191069574	29.78193146	0.732087227	piglet
12	P_d1_P10	1	d1	1.033229491	26.66147456	2.51298027	61.07476636	8.073727934	piglet
13	P_d1_P2	1	d1	0.249221184	46.59916926	2.107995846	47.96469367	0.20768432	piglet
14	P_d1_P3	1	d1	1.978193146	42.52855659	0.498442368	54.52751817	0	piglet
15	P_d1_P4	1	d1	0.015576324	43.894081	2.440290758	52.74143302	0.02596054	piglet
16	P_d1_P5	1	d1	0.088265836	52.86604361	1.988577362	43.65005192	0.197300104	piglet
17	P_d1_P6	1	d1	0.041536864	48.44755971	0.166147456	50.75285566	0	piglet
18	P_d1_P7	1	d1	0.171339564	42.94392523	1.396677051	54.74558671	0	piglet
19	P_d1_P8	1	d1	0.54517134	42.34164071	2.793354102	50.23364486	2.43509865	piglet
20	P_d1_P9	1	d1	0.010384216	34.01349948	7.217030114	58.39563863	0	piglet
21	P_d14_P1	14	d14	16.64589823	61.30841121	1.640706127	4.963655244	0	piglet
22	P_d14_P10	14	d14	10.96573209	52.51298027	29.62097612	3.956386293	1.344755971	piglet
23	P_d14_P2	14	d14	10.2596054	35.192108	5.2596054	43.19833853	0.804776739	piglet
24	P_d14_P3	14	d14	49.63136033	26.12149533	4.761163032	17.57528557	0	piglet
25	P_d14_P4	14	d14	49.77154725	26.13707165	3.847352025	18.5721703	0	piglet
26	P_d14_P5	14	d14	0.28556594	74.53271028	5.020768432	18.52024922	0.093457944	piglet
27	P_d14_P6	14	d14	52.75700935	34.26791277	4.4807892	8.250259605	0	piglet
28	P_d14_P7	14	d14	53.6344756	30.50882658	1.261682243	14.3509865	0	piglet
29	P_d14_P8	14	d14	42.69470405	29.73001038	18.77466251	6.209761163	0.789200415	piglet
30	P_d14_P9	14	d14	1.163032191	57.14953271	15.98130841	25.1973001	0.020768432	piglet
31	P_d2_P1	2	d2	0.171339564	61.87954309	3.712357217	31.79127726	0.721703011	piglet
32	P_d2_P10	2	d2	0.893042575	36.87954309	5.62305296	50.5192108	5.098650052	piglet
33	P_d2_P2	2	d2	0.212876428	40.26998962	2.414330218	54.97923157	0.15576324	piglet
34	P_d2_P3	2	d2	2.159916926	42.17030114	1.931464174	52.28452752	0	piglet
35	P_d2_P4	2	d2	0.020768432	48.36967809	3.888888889	46.58359294	0	piglet
36	P_d2_P5	2	d2	0.186915888	56.1682243	1.391484943	41.56282451	0.119418484	piglet
37	P_d2_P6	2	d2	0.114226376	52.11318795	0.524402908	46.48494289	0	piglet
38	P_d2_P7	2	d2	0.36344756	41.14745587	2.455867082	55.09345794	0	piglet
39	P_d2_P8	2	d2	0.529595016	45.78400831	5.249221184	42.32087227	2.206645898	piglet
40	P_d2_P9	2	d2	0	40.69055036	7.834890966	50.85669782	0	piglet
41	P_d21_P1	21	d21	49.0238837	29.47559709	19.62097612	1.022845275	0.015576324	piglet
42	P_d21_P10	21	d21	20.03634476	40.00519211	37.84527518	0.57113188	0.446521288	piglet
43	P_d21_P2	21	d21	31.29283489	25.95534787	27.67912773	12.21183801	0.295950156	piglet
44	P_d21_P3	21	d21	59.27310488	19.32502596	11.19418484	9.340602285	0	piglet
45	P_d21_P4	21	d21	9.029075805	54.66251298	33.22429907	0.451713396	0	piglet
46	P_d21_P5	21	d21	0.114226376	86.17341641	7.455867082	4.735202492	0.015576324	piglet
47	P_d21_P6	21	d21	21.90031153	49.61578401	27.67912773	0.472481828	0	piglet
48	P_d21_P7	21	d21	74.66770509	13.81100727	5.41536864	5.991692627	0	piglet
49	P_d21_P8	21	d21	43.12045691	27.55451713	25.41536864	1.313603323	0.109034268	piglet
50	P_d21_P9	21	d21	4.304257529	44.69885774	44.63655244	5.955347871	0	piglet
51	P_d3_P1	3	d3	0.295950156	47.35202492	3.686396677	45.23364486	1.225337487	piglet
52	P_d3_P10	3	d3	3.104880582	35.63343718	5.539979232	48.17757009	6.453790239	piglet
53	P_d3_P2	3	d3	0.197300104	39.03946002	3.785046729	54.10695742	0.301142264	piglet
54	P_d3_P3	3	d3	30.62305296	26.14745587	0.986500519	41.46936656	0	piglet
55	P_d3_P4	3	d3	0.083073728	41.38629283	3.836967809	53.72793354	0.072689512	piglet
56	P_d3_P5	3	d3	0.212876428	47.47663551	2.20145379	49.24714434	0.067497404	piglet
57	P_d3_P6	3	d3	0.07788162	53.33852544	0.690550363	45.48805815	0	piglet
58	P_d3_P8	3	d3	1.261682243	41.34475597	5.015576324	46.57840083	3.05815161	piglet
59	P_d3_P9	3	d3	0.020768432	44.52232606	9.553478712	45.20249221	0.015576324	piglet
60	P_d7_P1	7	d7	0.306334372	59.43925234	3.291796469	32.09241952	1.053997923	piglet
61	P_d7_P10	7	d7	3.276220145	61.4953271	10.04672897	16.67705088	4.6105919	piglet
62	P_d7_P2	7	d7	4.94807892	46.93665628	3.042575286	39.9376947	0.669781931	piglet
63	P_d7_P3	7	d7	47.86604361	23.17757009	1.246105919	26.11630322	0	piglet
64	P_d7_P4	7	d7	0.010384216	80.48805815	7.414330218	9.164070613	0	piglet
65	P_d7_P5	7	d7	0.295950156	56.56282451	1.562824507	40.76843198	0.150571132	piglet
66	P_d7_P6	7	d7	42.08722741	46.57840083	0.321910696	10.30633437	0.098650052	piglet
67	P_d7_P7	7	d7	3.618899273	64.96884735	3.141225337	27.13914849	0	piglet
68	P_d7_P8	7	d7	46.53167186	29.52751817	5.02596054	15.47767394	0.794392523	piglet
69	P_d7_P9	7	d7	0.145379024	53.48390447	10.76843198	34.69366563	0.015576324	piglet
