	ID	Day_cat	Animal	Day	type	observed_features	shannon_entropy	pielou_evenness	faith_pd	simpson	simpson_e
59	B_d7_B2	d7	B2	7	broiler	96	3.396889742	0.515855594	5.909144062	0.827879152	0.060519494
60	B_d7_B3	d7	B3	7	broiler	79	3.860705823	0.61244291	5.160787066	0.893990933	0.11940703
61	B_d7_B4	d7	B4	7	broiler	87	4.090377297	0.634861581	6.039918963	0.901724186	0.116959122
62	B_d7_B5	d7	B5	7	broiler	52	3.872819096	0.679389536	4.293651127	0.877669464	0.157203343
63	B_d7_B6	d7	B6	7	broiler	97	4.156570914	0.629791789	5.96232018	0.910482869	0.115165424
64	B_d7_B7	d7	B7	7	broiler	69	3.526110312	0.5772442	4.35042297	0.840032024	0.090597843
65	B_d7_B8	d7	B8	7	broiler	69	4.37363644	0.71598902	5.250261409	0.905666247	0.153632747
66	B_d7_B9	d7	B9	7	broiler	81	3.938234879	0.62118739	7.358254457	0.894549356	0.117075425
1	C_d0_C1	d0	C1	0	calf	694	6.525564962	0.691355956	30.52380983	0.966002664	0.042383385
2	C_d0_C10	d0	C10	0	calf	463	6.597404293	0.745059555	27.09934849	0.975897938	0.08961172
3	C_d0_C2	d0	C2	0	calf	675	6.876177128	0.731605984	30.66895547	0.978499102	0.068903236
4	C_d0_C3	d0	C3	0	calf	405	6.681977957	0.771432595	25.84648977	0.977724074	0.110843241
5	C_d0_C4	d0	C4	0	calf	403	5.92660205	0.684789289	27.4111687	0.953306894	0.053142525
6	C_d0_C5	d0	C5	0	calf	312	5.34707718	0.645361207	19.62970844	0.943215232	0.05644345
7	C_d0_C6	d0	C6	0	calf	244	5.18040686	0.653206208	19.78874771	0.917131724	0.049456328
8	C_d0_C7	d0	C7	0	calf	311	5.887707653	0.711009617	20.55025582	0.968914057	0.103436917
9	C_d0_C8	d0	C8	0	calf	338	6.50875478	0.774770645	23.39845735	0.977031229	0.128808804
10	C_d0_C9	d0	C9	0	calf	298	5.882038494	0.715648849	19.88474217	0.967651738	0.103736786
11	C_d1_C1	d1	C1	1	calf	648	6.423322832	0.687732975	29.1800033	0.964493029	0.043462167
12	C_d1_C10	d1	C10	1	calf	286	5.968435519	0.731437454	21.63831994	0.958617008	0.084491318
13	C_d1_C2	d1	C2	1	calf	376	6.205972697	0.725455402	23.86745989	0.965023416	0.076038714
14	C_d1_C3	d1	C3	1	calf	480	6.618077189	0.743028908	27.74997931	0.976912477	0.090236329
15	C_d1_C4	d1	C4	1	calf	459	6.939256846	0.784775153	27.84069364	0.981977573	0.120885451
16	C_d1_C5	d1	C5	1	calf	320	4.980310237	0.598456293	20.74994793	0.934497017	0.047707751
17	C_d1_C6	d1	C6	1	calf	396	6.753833821	0.782657864	22.92808385	0.97178052	0.089486147
18	C_d1_C7	d1	C7	1	calf	304	6.828382954	0.827890757	20.69558765	0.981855518	0.181293341
19	C_d1_C8	d1	C8	1	calf	335	6.121424083	0.729782006	24.20543967	0.955042931	0.066398338
20	C_d1_C9	d1	C9	1	calf	417	6.260573409	0.719283406	24.34019574	0.968568648	0.076295845
21	C_d14_C1	d14	C1	14	calf	300	5.369597759	0.652535675	22.33812615	0.933027383	0.049771586
22	C_d14_C10	d14	C10	14	calf	225	5.039306857	0.644925515	19.99322505	0.90297106	0.045805349
23	C_d14_C3	d14	C3	14	calf	392	5.575049259	0.647154618	26.23035149	0.949716469	0.050732722
24	C_d14_C4	d14	C4	14	calf	288	4.874047147	0.596584075	22.5561887	0.904850076	0.036492118
25	C_d14_C5	d14	C5	14	calf	4	0.151428016	0.075714008	0.630902165	0.034647954	0.258972881
26	C_d14_C6	d14	C6	14	calf	167	4.195648787	0.56823088	17.04742219	0.883750595	0.051510147
27	C_d14_C7	d14	C7	14	calf	302	4.949463537	0.600779361	23.47236973	0.907797492	0.035912887
28	C_d14_C8	d14	C8	14	calf	256	4.658758773	0.582344847	21.58584414	0.895936849	0.037537303
29	C_d14_C9	d14	C9	14	calf	288	4.703876337	0.575755143	20.16054756	0.893980173	0.032750687
30	C_d2_C1	d2	C1	2	calf	403	6.123110271	0.707494833	26.4458201	0.962645179	0.06642756
31	C_d2_C10	d2	C10	2	calf	303	5.696154218	0.691014678	23.38257176	0.943143878	0.058047048
32	C_d2_C2	d2	C2	2	calf	357	5.868394487	0.692045584	25.12084235	0.947752903	0.053612939
33	C_d2_C3	d2	C3	2	calf	412	6.516335998	0.750168146	25.71974014	0.976371104	0.102721029
34	C_d2_C4	d2	C4	2	calf	403	6.148542591	0.710433411	26.28417451	0.967399044	0.076114014
35	C_d2_C5	d2	C5	2	calf	281	5.456015256	0.670731412	20.40916601	0.957036809	0.082831809
36	C_d2_C6	d2	C6	2	calf	244	4.900812873	0.617951732	20.10713763	0.932307832	0.060544089
37	C_d2_C7	d2	C7	2	calf	307	6.15458611	0.744918356	21.71791266	0.974151904	0.126018139
38	C_d2_C8	d2	C8	2	calf	346	6.082254803	0.721105263	23.48837757	0.963076442	0.078274511
39	C_d2_C9	d2	C9	2	calf	458	6.875581077	0.777850725	23.22495622	0.981339905	0.117009379
40	C_d21_C1	d21	C1	21	calf	395	5.364501068	0.621920026	27.85165278	0.926260984	0.034332511
41	C_d21_C2	d21	C2	21	calf	328	5.177633823	0.619515597	25.06970343	0.929260013	0.043098404
42	C_d21_C3	d21	C3	21	calf	547	5.675925663	0.62404375	29.65837106	0.947460191	0.034795589
43	C_d21_C4	d21	C4	21	calf	309	5.163138744	0.624211065	25.24412904	0.924594416	0.042917855
44	C_d21_C5	d21	C5	21	calf	169	5.046976578	0.681942818	15.86061439	0.936997345	0.093919213
45	C_d21_C6	d21	C6	21	calf	196	4.553511899	0.597988892	18.33872018	0.891564045	0.047051191
46	C_d21_C7	d21	C7	21	calf	393	4.87427414	0.565566966	25.89468945	0.901133926	0.025737133
47	C_d21_C8	d21	C8	21	calf	257	4.958059038	0.619321954	20.98957332	0.923136864	0.050623105
48	C_d21_C9	d21	C9	21	calf	188	4.914266416	0.650500843	16.78205269	0.926432173	0.072302651
49	C_d3_C1	d3	C1	3	calf	480	5.532937393	0.621197413	26.51720167	0.92861769	0.029185569
50	C_d3_C10	d3	C10	3	calf	479	6.09707613	0.684766064	30.16623285	0.955195517	0.046595397
51	C_d3_C2	d3	C2	3	calf	369	6.136643962	0.719631839	26.36764085	0.964371818	0.076064142
52	C_d3_C3	d3	C3	3	calf	517	6.301154485	0.699039292	28.33047806	0.971619632	0.068154013
53	C_d3_C4	d3	C4	3	calf	300	6.005785086	0.729847784	22.72723164	0.963579749	0.091524173
54	C_d3_C5	d3	C5	3	calf	237	5.499212895	0.697096194	19.0484934	0.95863677	0.102008699
55	C_d3_C6	d3	C6	3	calf	272	5.04899164	0.624298589	21.03103801	0.932964672	0.054843777
56	C_d3_C7	d3	C7	3	calf	301	6.172130854	0.74962545	20.94741721	0.973174841	0.123848627
57	C_d3_C8	d3	C8	3	calf	337	6.09023169	0.725320751	22.28117261	0.965682814	0.086468601
58	C_d3_C9	d3	C9	3	calf	186	5.714117065	0.757925016	17.0064356	0.965362819	0.155218872
59	C_d7_C1	d7	C1	7	calf	189	4.731060807	0.625616126	17.0232922	0.901359195	0.053639113
60	C_d7_C10	d7	C10	7	calf	259	5.294876538	0.660471892	22.17050288	0.943568732	0.068419584
61	C_d7_C2	d7	C2	7	calf	286	5.440839387	0.666780046	24.61297719	0.947007684	0.06598133
62	C_d7_C3	d7	C3	7	calf	365	5.659920362	0.664953576	25.72910469	0.955067615	0.060974418
63	C_d7_C4	d7	C4	7	calf	269	5.201631673	0.644447244	21.92165138	0.906879274	0.039920996
64	C_d7_C5	d7	C5	7	calf	272	5.936691369	0.734061038	21.11422915	0.969758878	0.121571896
65	C_d7_C6	d7	C6	7	calf	220	5.138289511	0.660333117	18.97695877	0.929575315	0.064543484
66	C_d7_C7	d7	C7	7	calf	335	5.774132337	0.688378688	24.57886458	0.938896609	0.048852847
67	C_d7_C8	d7	C8	7	calf	298	5.680753123	0.691159101	24.46718266	0.955703019	0.075754704
68	C_d7_C9	d7	C9	7	calf	266	5.590312111	0.693993309	18.68118046	0.954902569	0.083361699
1	P_d0_P1	d0	P1	0	piglet	371	5.931606626	0.694951992	17.25067677	0.927415727	0.037135011
2	P_d0_P10	d0	P10	0	piglet	199	5.895864628	0.772051125	13.27754181	0.972000935	0.179474765
3	P_d0_P2	d0	P2	0	piglet	320	6.147048065	0.738656715	17.48025212	0.966848957	0.09426551
4	P_d0_P3	d0	P3	0	piglet	246	6.409226114	0.806951767	13.70019744	0.978361779	0.187863906
5	P_d0_P4	d0	P4	0	piglet	308	6.387593588	0.772681568	15.44453587	0.977166867	0.142194819
6	P_d0_P5	d0	P5	0	piglet	181	5.276117846	0.703496835	12.03406383	0.926606227	0.075276984
7	P_d0_P6	d0	P6	0	piglet	208	6.026565137	0.782626104	12.64593313	0.971193716	0.166897343
8	P_d0_P7	d0	P7	0	piglet	290	6.356389793	0.777073403	16.40534629	0.977312052	0.151987117
9	P_d0_P8	d0	P8	0	piglet	292	6.315934439	0.771192886	17.65220042	0.974857683	0.136210899
10	P_d0_P9	d0	P9	0	piglet	201	5.950385074	0.777721196	12.41498526	0.967787639	0.154447679
11	P_d1_P1	d1	P1	1	piglet	324	6.21708073	0.745466732	16.88627022	0.952077404	0.064404269
12	P_d1_P10	d1	P10	1	piglet	224	5.667329457	0.725896224	13.66934113	0.963197568	0.121304094
13	P_d1_P2	d1	P2	1	piglet	250	6.233008843	0.782472713	15.77282285	0.975612793	0.164020421
14	P_d1_P3	d1	P3	1	piglet	305	6.255492709	0.757996645	13.8410732	0.96351765	0.089870542
15	P_d1_P4	d1	P4	1	piglet	317	6.460945421	0.777645856	16.01908269	0.977167433	0.138161167
16	P_d1_P5	d1	P5	1	piglet	215	5.411519891	0.69842349	13.89120602	0.93632705	0.073047704
17	P_d1_P6	d1	P6	1	piglet	246	6.045813239	0.761196374	13.72474888	0.970020882	0.135595737
18	P_d1_P7	d1	P7	1	piglet	270	6.191410667	0.766565807	14.35080904	0.974530327	0.145416226
19	P_d1_P8	d1	P8	1	piglet	291	6.262015736	0.765071608	16.83934463	0.972212582	0.123668422
20	P_d1_P9	d1	P9	1	piglet	201	5.918583166	0.773564655	11.8928296	0.970504244	0.168672548
21	P_d14_P1	d14	P1	14	piglet	104	4.541835669	0.677841434	5.959124758	0.852891902	0.065362714
22	P_d14_P10	d14	P10	14	piglet	152	4.163009521	0.5743724	12.23104658	0.885176602	0.057296226
23	P_d14_P2	d14	P2	14	piglet	290	6.193649907	0.75717833	19.5580844	0.970580438	0.117210305
24	P_d14_P3	d14	P3	14	piglet	135	4.578940757	0.647034064	10.1452159	0.912077339	0.084249127
25	P_d14_P4	d14	P4	14	piglet	140	4.620913155	0.64815959	10.7620665	0.912468111	0.081602914
26	P_d14_P5	d14	P5	14	piglet	164	4.855022272	0.659869243	12.79712189	0.896657959	0.059003683
27	P_d14_P6	d14	P6	14	piglet	159	4.471509062	0.611456397	12.03843237	0.885886654	0.055114571
28	P_d14_P7	d14	P7	14	piglet	154	4.128170605	0.568087501	11.74708176	0.870976731	0.050328181
29	P_d14_P8	d14	P8	14	piglet	173	4.361028989	0.586583331	13.26725553	0.888669915	0.051920797
30	P_d14_P9	d14	P9	14	piglet	178	5.372195921	0.718617908	12.47648511	0.95170244	0.116320111
31	P_d2_P1	d2	P1	2	piglet	366	6.253956119	0.734403072	17.71648884	0.960689769	0.069504563
32	P_d2_P10	d2	P10	2	piglet	182	5.93427716	0.790415487	12.39747491	0.972327531	0.198554942
33	P_d2_P2	d2	P2	2	piglet	261	6.192748321	0.771402695	16.86825704	0.976359238	0.162068278
34	P_d2_P3	d2	P3	2	piglet	196	5.985511039	0.786045846	12.32136723	0.96568414	0.148678797
35	P_d2_P4	d2	P4	2	piglet	205	6.132029911	0.798495449	13.29089635	0.974605713	0.192092366
36	P_d2_P5	d2	P5	2	piglet	363	5.643793799	0.663677029	17.15703803	0.93969579	0.045682067
37	P_d2_P6	d2	P6	2	piglet	258	5.943918538	0.741948562	13.61054511	0.96803018	0.121238374
38	P_d2_P7	d2	P7	2	piglet	221	6.103249737	0.783683372	14.32463364	0.972894312	0.166934956
39	P_d2_P8	d2	P8	2	piglet	273	6.394351884	0.790132679	17.25449581	0.977944308	0.166079743
40	P_d2_P9	d2	P9	2	piglet	191	5.813230701	0.767177209	11.89303162	0.965000636	0.14959135
